"zip","city","county","pop"
"90011","Los Angeles","Los Angeles","109414"
"90650","Norwalk","Los Angeles","105886"
"91331","Pacoima","Los Angeles","105799"
"90201","Bell","Los Angeles","102433"
"92335","Fontana","San Bernardino","99284"
"90250","Hawthorne","Los Angeles","96836"
"90805","Long Beach","Los Angeles","96708"
"92336","Fontana","San Bernardino","96575"
"91342","Sylmar","Los Angeles","96487"
"90044","Los Angeles","Los Angeles","96436"
"94565","Pittsburg","Contra Costa","96081"
"90280","South Gate","Los Angeles","95103"
"92503","Riverside","Riverside","94512"
"92683","Westminster","Orange","91376"
"91710","Chino","San Bernardino","90582"
"92704","Santa Ana","Orange","90340"
"92804","Anaheim","Orange","88749"
"91744","La Puente","Los Angeles","87240"
"92376","Rialto","San Bernardino","87027"
"92154","San Diego","San Diego","86811"
"95076","Watsonville","Santa Cruz","86703"
"91911","Chula Vista","San Diego","85365"
"94112","San Francisco","San Francisco","85166"
"93307","Bakersfield","Kern","84809"
"92592","Temecula","Riverside","84418"
"93033","Oxnard","Ventura","83782"
"93722","Fresno","Fresno","83179"
"93727","Fresno","Fresno","82920"
"92126","San Diego","San Diego","82572"
"92509","Riverside","Riverside","81214"
"92345","Hesperia","San Bernardino","80808"
"91335","Reseda","Los Angeles","80524"
"91709","Chino Hills","San Bernardino","79298"
"95823","Sacramento","Sacramento","79272"
"94544","Hayward","Alameda","79235"
"95035","Milpitas","Santa Clara","77562"
"90706","Bellflower","Los Angeles","77529"
"91706","Baldwin Park","Los Angeles","77342"
"93550","Palmdale","Los Angeles","77006"
"95630","Folsom","Sacramento","76973"
"93257","Porterville","Tulare","76923"
"92553","Moreno Valley","Riverside","75830"
"94533","Fairfield","Solano","75635"
"90255","Huntington Park","Los Angeles","75560"
"94587","Union City","Alameda","74601"
"92805","Anaheim","Orange","74413"
"91910","Chula Vista","San Diego","74297"
"94110","San Francisco","San Francisco","74161"
"94536","Fremont","Alameda","73855"
"93274","Tulare","Tulare","73778"
"93306","Bakersfield","Kern","73401"
"93535","Lancaster","Los Angeles","72948"
"92105","San Diego","San Diego","72848"
"90003","Los Angeles","Los Angeles","72741"
"93536","Lancaster","Los Angeles","72383"
"91766","Pomona","Los Angeles","72332"
"93065","Simi Valley","Ventura","72061"
"92882","Corona","Riverside","71581"
